A	329 	51.24
A	248 	77.18
A	334 	43.79
A	335 	84.75
A	319 	70.73
A	258 	34.44
A	255 	78.88
A	253 	34.94
A	293 	43.59
A	342 	56.61
A	291 	22.47
A	295 	7.17
A	262 	57.66
A	378 	77.28
A	318 	35.69
A	376 	61.06
A	373 	43.71
A	260 	29.44
A	259 	11.92
A	320 	66.26
A	256 	75.56
A	241 	56.99
A	257 	65.08
A	244 	46.29
A	243 	66.66
A	50 	88.48
A	41 	59.84
A	339 	9.65
A	297 	36.97
A	294 	56.64
A	379 	7.37
A	40 	11.15
A	40 	40.56
A	129 	61.16
A	272 	23.94
A	269 	68.23
A	237 	25.22
A	99 	19.52
A	28 	82.60
A	165 	47.26
A	167 	80.35
A	53 	12.85
A	61 	54.34
A	126 	51.79
A	308 	10.35
A	283 	29.22
A	435 	9.25
A	436 	11.90
A	301 	38.67
A	300 	40.41
A	233 	6.77
A	235 	84.75
A	264 	88.98
A	24 	67.56
A	25 	51.59
A	123 	42.29
A	64 	59.74
A	123 	54.04
A	124 	87.23
A	434 	21.89
A	386 	57.94
K	62 	15.10
A	170 	46.66
A	232 	34.97
K	63 	87.78
A	23 	36.94
A	21 	88.43
A	158 	13.40
A	217 	84.48
A	213 	78.78
A	430 	7.42
A	172 	53.99
A	232 	49.76
A	231 	55.39
K	53 	57.99
A	193 	37.59
A	194 	57.61
A	21 	34.27
A	155 	34.37
A	156 	68.13
A	88 	72.33
K	33 	29.04
A	214 	20.64
A	208 	82.08
A	209 	83.53
A	228 	55.96
K	64 	48.21
K	42 	48.64
A	193 	7.87
A	18 	76.38
K	41 	54.94
A	139 	37.12
A	85 	22.24
A	153 	64.18
A	393 	14.85
K	66 	58.64
A	419 	48.01
K	347 	70.01
A	14 	81.80
K	274 	63.18
K	340 	45.76
K	337 	59.06
A	69 	58.76
A	395 	35.37
A	178 	44.99
B	245 	68.16
K	66 	63.61
A	187 	50.46
K	350 	44.51
K	349 	58.91
K	349 	37.99
K	106 	43.04
A	78 	74.33
A	79 	84.35
K	24 	58.76
K	26 	35.87
A	112 	9.37
B	327 	72.06
B	324 	68.36
A	221 	70.03
K	355 	68.23
K	354 	37.67
A	399 	38.57
A	416 	62.61
A	80 	67.93
K	24 	59.59
K	269 	58.19
K	107 	29.09
A	95 	75.76
K	107 	78.26
K	108 	42.61
K	275 	65.01
K	275 	60.23
K	228 	67.36
K	227 	34.47
A	96 	38.52
B	329 	75.81
B	320 	31.57
A	401 	51.24
K	355 	36.34
A	402 	30.04
K	353 	39.59
A	408 	54.56
B	247 	44.49
B	252 	52.59
A	101 	43.99
K	78 	63.11
A	109 	32.42
K	77 	15.82
B	335 	33.49
B	332 	76.81
B	333 	67.83
B	290 	81.00
B	348 	21.34
B	317 	78.01
B	355 	75.56
B	2 	52.26
K	84 	3.37
K	82 	25.32
K	111 	67.26
K	283 	35.39
A	105 	78.86
K	234 	68.98
K	118 	67.66
K	234 	16.92
K	234 	47.54
K	226 	66.63
K	120 	83.03
B	309 	18.97
B	343 	9.82
B	291 	67.66
B	313 	13.40
B	318 	66.38
A	404 	51.99
K	292 	25.27
K	333 	74.11
B	2 	42.26
K	291 	51.36
K	288 	19.92
K	112 	55.34
K	233 	75.56
K	233 	30.82
K	285 	34.49
K	134 	51.41
B	309 	49.66
B	342 	65.63
B	318 	58.21
K	297 	98.38
K	294 	78.96
B	239 	29.27
B	251 	93.60
K	290 	44.39
B	48 	64.46
K	265 	69.23
K	237 	70.03
K	280 	51.24
B	310 	50.16
B	311 	68.51
B	370 	46.56
K	297 	28.29
B	236 	3.70
K	361 	14.12
K	312 	41.56
B	165 	47.46
B	238 	77.08
K	323 	9.37
B	164 	77.48
K	239 	49.21
K	163 	48.56
K	142 	53.69
K	139 	73.38
K	221 	49.86
B	162 	57.54
K	221 	20.64
B	53 	15.27
K	222 	20.54
K	222 	54.11
K	126 	81.08
B	299 	74.31
K	361 	27.57
B	264 	9.07
B	28 	85.75
K	316 	2.02
K	314 	67.38
K	315 	9.87
K	93 	56.69
K	263 	63.03
K	238 	60.73
K	161 	46.79
B	35 	60.93
K	143 	47.94
K	162 	53.91
K	167 	18.72
B	122 	37.84
K	218 	30.54
K	220 	45.64
B	307 	7.05
B	281 	59.06
K	305 	10.95
B	429 	74.81
B	297 	77.51
B	297 	65.46
B	280 	47.11
B	279 	68.48
B	375 	11.45
B	424 	22.69
B	421 	74.68
B	232 	36.29
B	262 	83.48
K	312 	30.44
B	233 	50.91
B	199 	56.69
K	318 	55.16
B	24 	78.03
K	94 	89.93
K	240 	64.01
K	241 	81.20
K	146 	37.22
B	60 	70.66
K	214 	58.31
B	121 	56.39
K	212 	49.84
K	213 	33.54
K	217 	63.83
B	378 	66.18
B	203 	41.21
K	362 	59.29
K	327 	34.92
B	193 	35.57
B	196 	48.41
B	166 	59.79
B	21 	64.58
B	195 	29.09
B	7 	72.88
K	315 	71.56
K	242 	20.77
K	159 	47.61
K	159 	75.53
B	58 	29.49
K	148 	48.64
K	210 	1.90
K	173 	54.84
B	379 	49.94
B	210 	53.99
B	170 	39.67
B	229 	88.18
B	230 	12.37
K	192 	53.59
K	192 	65.71
B	137 	38.57
B	192 	41.11
B	136 	32.49
K	181 	90.55
K	243 	29.84
K	151 	18.50
B	86 	55.84
B	213 	57.11
B	380 	13.32
B	214 	10.47
B	215 	34.37
B	381 	44.69
B	382 	36.54
B	226 	55.51
B	225 	88.85
B	189 	27.17
K	189 	73.63
K	192 	48.44
B	191 	36.97
B	18 	51.89
K	183 	36.87
B	149 	59.91
B	150 	49.09
B	151 	8.65
K	244 	39.39
B	174 	62.98
B	212 	77.73
B	385 	58.36
K	190 	58.46
K	189 	96.45
B	412 	62.16
B	141 	10.62
B	15 	65.71
B	147 	70.68
K	247 	48.56
K	183 	4.70
B	14 	6.92
K	153 	75.88
K	155 	48.86
B	380 	66.43
B	384 	1.85
B	386 	63.88
K	191 	1.90
B	186 	58.86
K	249 	2.72
K	249 	38.67
B	72 	64.06
B	77 	49.81
B	77 	44.89
B	78 	54.04
B	183 	59.71
B	75 	46.74
B	107 	51.04
B	392 	67.71
B	180 	9.57
B	403 	33.04
B	398 	3.15
A	330 	18.47
A	295 	65.16
A	316 	73.58
A	241 	15.70
A	51 	1.12
A	41 	49.06
A	3 	2.42
A	128 	12.75
A	311 	54.61
K	59 	5.15
A	310 	63.86
A	299 	18.40
A	202 	18.25
A	264 	68.76
A	198 	28.67
A	26 	58.81
A	279 	33.54
A	233 	43.76
A	196 	52.69
K	37 	55.76
A	212 	59.34
A	430 	1.97
K	63 	43.54
A	138 	36.07
K	40 	19.07
A	154 	60.21
A	87 	35.89
K	35 	12.95
A	215 	50.36
A	390 	39.49
A	304 	61.38
K	52 	68.96
A	16 	51.26
A	151 	2.17
K	33 	45.39
A	118 	65.71
A	15 	53.24
K	346 	31.49
A	150 	65.41
K	29 	50.41
A	394 	34.49
K	67 	69.73
K	50 	48.26
A	186 	48.79
K	348 	42.84
A	147 	17.85
K	271 	4.37
A	94 	55.66
A	114 	10.07
B	322 	75.36
A	398 	62.83
K	352 	67.98
K	335 	45.56
K	109 	12.27
A	110 	49.39
A	400 	31.92
A	402 	77.96
A	413 	6.52
K	229 	73.78
K	275 	1.17
A	108 	30.19
B	350 	48.39
K	85 	60.13
K	111 	68.06
K	116 	84.00
K	282 	31.09
B	285 	69.86
K	297 	6.10
B	253 	26.97
A	408 	7.17
K	291 	49.06
K	103 	16.32
B	340 	47.46
B	285 	36.09
K	300 	48.91
B	368 	66.76
K	331 	54.29
B	241 	46.04
K	264 	45.06
B	47 	26.42
K	139 	7.27
B	48 	35.09
K	164 	12.60
B	237 	30.84
B	238 	76.61
B	241 	72.68
B	163 	55.21
B	124 	46.84
K	128 	71.13
B	282 	52.46
B	372 	19.10
B	310 	35.12
B	422 	52.66
K	309 	39.47
B	199 	60.03
B	235 	25.42
K	329 	29.14
K	323 	10.87
B	165 	25.12
B	156 	44.16
K	163 	0.15
K	145 	35.57
K	221 	48.04
B	373 	34.42
B	423 	38.74
B	422 	9.37
K	321 	69.83
K	318 	58.89
B	135 	52.16
K	261 	47.56
K	146 	67.53
B	156 	45.04
B	54 	57.49
K	212 	37.19
B	307 	39.07
B	420 	57.46
B	418 	57.14
B	23 	49.51
K	150 	74.56
K	147 	49.86
K	70 	45.91
B	117 	61.76
K	208 	72.06
B	18 	13.30
B	306 	72.98
B	228 	43.19
B	413 	40.66
B	20 	53.59
B	9 	40.59
B	22 	40.99
K	259 	69.13
K	197 	46.54
B	191 	10.60
K	181 	91.18
B	152 	54.61
B	85 	11.50
K	202 	54.89
B	116 	53.06
B	207 	48.11
B	382 	22.92
B	168 	47.39
B	16 	88.75
K	185 	56.84
K	155 	49.26
K	157 	14.45
B	383 	3.92
K	191 	3.57
B	140 	30.44
B	01 	62.76
B	145 	66.46
B	145 	70.33
K	257 	61.71
B	112 	85.33
B	384 	11.12
B	384 	1.45
B	176 	55.34
B	409 	59.26
B	408 	26.94
B	106 	49.64
B	184 	26.24
B	103 	30.17
A	336 	37.82
A	51 	49.44
A	240 	24.64
A	2 	53.59
A	52 	34.57
A	27 	34.44
A	433 	20.99
A	382 	0.37
A	427 	16.92
A	216 	5.30
A	425 	37.07
A	192 	38.07
A	139 	36.69
A	20 	42.19
A	194 	32.22
A	157 	31.64
A	214 	43.69
A	392 	36.44
K	340 	23.44
A	91 	30.54
A	140 	46.31
A	103 	39.52
K	25 	70.78
K	274 	39.82
K	23 	39.77
A	108 	3.35
B	330 	65.86
K	357 	4.70
K	352 	16.35
B	315 	68.11
B	252 	20.39
B	46 	46.46
K	283 	34.64
B	309 	32.49
B	290 	12.60
K	359 	3.57
K	295 	36.87
B	2 	28.47
K	86 	18.17
K	284 	36.27
B	1 	63.28
K	287 	37.34
K	281 	59.96
K	129 	13.17
B	337 	2.32
B	426 	24.19
B	263 	27.97
K	324 	12.85
B	51 	39.67
B	62 	65.88
B	309 	14.07
B	424 	50.71
K	321 	31.47
B	266 	55.74
K	329 	54.64
B	165 	52.24
B	62 	22.27
B	298 	22.14
B	302 	3.90
B	201 	62.93
B	200 	71.71
B	25 	57.64
B	6 	37.49
K	240 	6.52
K	160 	53.69
B	276 	7.87
B	231 	21.89
B	167 	21.02
B	194 	23.04
K	260 	32.27
K	49 	45.36
B	154 	53.76
B	119 	21.59
B	122 	34.79
B	214 	21.57
B	379 	19.12
B	417 	59.04
K	157 	16.20
B	208 	27.27
K	245 	37.04
K	183 	32.49
K	152 	39.62
B	410 	25.44
B	14 	24.07
B	390 	25.19
B	185 	26.47
B	105 	34.84
B	104 	59.51
A	358 	20.04
A	292 	44.91
A	130 	22.12
A	284 	55.81
A	62 	14.30
A	236 	8.47
A	27 	51.06
A	6 	39.02
K	54 	12.80
A	19 	48.01
A	9 	10.05
A	83 	43.76
A	193 	13.52
A	391 	34.62
A	422 	51.34
K	345 	6.42
K	351 	48.51
K	72 	44.41
K	26 	26.47
A	113 	2.90
K	24 	2.30
A	74 	10.67
B	331 	55.84
B	324 	44.66
A	105 	60.56
B	334 	31.24
K	83 	43.69
B	336 	49.34
A	401 	0.02
K	301 	10.20
B	242 	63.63
B	44 	54.59
B	364 	3.15
